paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,date_added
AVALLE2018,PA66,0,0,0,2,96,EVA,2,20,0.628,300,,other,PoD,dry,,,injection,0.355,5.6000e-05,0.336,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 4 wt% MoS2 MB (50% MoS2 / 50% EVA); wear volume from Table 4; COF from Table 6,2026-09-01
AVALLE2018,PA66,0,0,0,4,92,EVA,4,20,0.628,300,,other,PoD,dry,,,injection,0.308,4.8833e-05,0.293,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 8 wt% MoS2 MB (50% MoS2 / 50% EVA); wear volume from Table 4; COF from Table 6,2026-09-01
AVALLE2018,PA66,0,0,0,8,84,EVA,8,20,0.628,300,,other,PoD,dry,,,injection,0.298,4.8167e-05,0.289,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 16 wt% MoS2 MB (50% MoS2 / 50% EVA); wear volume from Table 4; COF from Table 6,2026-09-01
AVALLE2018,PA66,0,0,0,0,98.5,CNT,1.5,20,0.628,300,,other,PoD,dry,,,injection,0.388,4.8333e-06,0.029,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 10 wt% PLASTICYL PA1501 (15% CNT / 85% PA66); wear volume from Table 4; COF from Table 6,2026-09-01
AVALLE2018,PA66,0,0,0,0,97,CNT,3,20,0.628,300,,other,PoD,dry,,,injection,0.390,8.1667e-06,0.049,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 20 wt% PLASTICYL PA1501 (15% CNT / 85% PA66); wear volume from Table 4; COF from Table 6,2026-09-01
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.165,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.158,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.152,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.141,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.13,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.195,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.186,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.181,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.175,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.168,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.214,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.202,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.196,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.183,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.179,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.181,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.175,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.164,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.153,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.142,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,100,5,1500,,steel,PoD,dry,50,23,injection,0.227,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,100,5,1500,,steel,PoD,dry,50,23,injection,0.213,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,100,5,1500,,steel,PoD,dry,50,23,injection,0.204,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,100,5,1500,,steel,PoD,dry,50,23,injection,0.192,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,100,5,1500,,steel,PoD,dry,50,23,injection,0.185,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,100,5,2000,,steel,PoD,dry,50,23,injection,0.239,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,100,5,2000,,steel,PoD,dry,50,23,injection,0.228,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,100,5,2000,,steel,PoD,dry,50,23,injection,0.219,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,100,5,2000,,steel,PoD,dry,50,23,injection,0.206,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,100,5,2000,,steel,PoD,dry,50,23,injection,0.193,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,150,5,1000,,steel,PoD,dry,50,23,injection,0.205,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,150,5,1000,,steel,PoD,dry,50,23,injection,0.189,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,150,5,1000,,steel,PoD,dry,50,23,injection,0.176,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,150,5,1000,,steel,PoD,dry,50,23,injection,0.168,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,150,5,1000,,steel,PoD,dry,50,23,injection,0.155,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,150,5,1500,,steel,PoD,dry,50,23,injection,0.243,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,150,5,1500,,steel,PoD,dry,50,23,injection,0.232,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,150,5,1500,,steel,PoD,dry,50,23,injection,0.226,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,150,5,1500,,steel,PoD,dry,50,23,injection,0.213,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,150,5,1500,,steel,PoD,dry,50,23,injection,0.208,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,150,5,2000,,steel,PoD,dry,50,23,injection,0.255,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,150,5,2000,,steel,PoD,dry,50,23,injection,0.242,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,150,5,2000,,steel,PoD,dry,50,23,injection,0.231,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,150,5,2000,,steel,PoD,dry,50,23,injection,0.222,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%",2026-09-01
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,150,5,2000,,steel,PoD,dry,50,23,injection,0.216,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%",2026-09-01
BIRYUKOV2023,PA6,100,0,0,0,0,,,,,,,steel,PoD,lubricated,,,,0.0925,,,,,10.1051/e3sconf/202345802018,prose,high,Pure PA6 vs 40X steel sleeve lubricated with MGE-10A hydraulic oil; counterface ground with P180 sandpaper; COF range 0.085-0.10; contact pressure 1.0-4.8 MPa,2026-09-01
BIRYUKOV2023,PA6,100,0,0,0,0,,,,,,,steel,PoD,lubricated,,,,0.105,,,,,10.1051/e3sconf/202345802018,prose,high,Pure PA6 vs 40X steel sleeve lubricated with MGE-10A hydraulic oil; counterface ground with P600 sandpaper; COF range 0.10-0.11; contact pressure 1.0-4.8 MPa,2026-09-01
BIRYUKOV2023,PA6,100,0,0,0,0,,,,,,,steel,PoD,lubricated,,,,0.085,,,,,10.1051/e3sconf/202345802018,prose,high,Pure PA6 vs 40X steel sleeve lubricated with MGE-10A hydraulic oil; counterface ground with P1200 sandpaper; COF range 0.08-0.09; contact pressure 1.0-4.8 MPa,2026-09-01
BOLAT2024,PA6,100,0,0,0,0,,,5,2.0,240,,other,PoD,dry,,23,AM,0.53,8.1667e-03,9.8,,,10.1002/pc.28236,mixed,high,untreated; volume loss 9.8 mm3 reported in text; COF 0.53 from Fig 9A; SiC paper 320 grit counterface,2026-09-01
BOLAT2024,PA6,100,0,0,0,0,,,10,2.0,240,,other,PoD,dry,,23,AM,0.61,1.0625e-02,25.5,,,10.1002/pc.28236,bar_chart,medium,untreated; volume loss 25.5 mm3 from Fig 8A; COF 0.61 from Fig 9A; SiC paper 320 grit counterface,2026-09-01
BOLAT2024,PA6,100,0,0,0,0,,,20,2.0,240,,other,PoD,dry,,23,AM,0.704,1.1750e-02,56.4,,,10.1002/pc.28236,mixed,high,untreated; volume loss 56.4 mm3 and COF 0.704 reported in text; SiC paper 320 grit counterface,2026-09-01
BOLAT2024,PA6,100,0,0,0,0,,,40,2.0,240,,other,PoD,dry,,23,AM,0.60,6.8125e-03,65.4,,,10.1002/pc.28236,mixed,high,untreated; volume loss 65.4 mm3 reported in text; COF 0.60 from Fig 9A; SiC paper 320 grit counterface,2026-09-01
BOLAT2024,PA6,100,0,0,0,0,,,5,2.0,240,,other,PoD,dry,,23,AM,0.52,4.3333e-03,5.2,,,10.1002/pc.28236,bar_chart,medium,secondary annealing at 138 C for 40 min; volume loss 5.2 mm3 from Fig 8B; COF 0.52 from Fig 9B; SiC paper 320 grit counterface,2026-09-01
BOLAT2024,PA6,100,0,0,0,0,,,10,2.0,240,,other,PoD,dry,,23,AM,0.74,6.5833e-03,15.8,,,10.1002/pc.28236,mixed,high,secondary annealing at 138 C for 40 min; COF 0.74 reported in text; volume loss 15.8 mm3 from Fig 8B; SiC paper 320 grit counterface,2026-09-01
BOLAT2024,PA6,100,0,0,0,0,,,20,2.0,240,,other,PoD,dry,,23,AM,0.66,6.3125e-03,30.3,,,10.1002/pc.28236,mixed,high,secondary annealing at 138 C for 40 min; volume loss 30.3 mm3 reported in text; COF 0.66 from Fig 9B; SiC paper 320 grit counterface,2026-09-01
